pH,Temperature (°C),Turbidity (NTU),Dissolved Oxygen (mg/L),Conductivity (µS/cm),Hardness,Safe
7.19,20.8,3.9,9.1,331,200.19,0
7.12,22.1,4.6,6.8,340,168.39,1
7.26,22.2,3.3,9.4,356,100.46,0
7.04,21.6,3.8,8.4,322,145.01,0
7.41,23,4.2,7.1,364,211.71,0
7.08,21.7,4.1,8.6,337,181.89,0
7.25,22.8,3.5,9.7,349,260.09,0
7.17,20.6,4.7,7.6,328,238.34,1
7.01,23.4,3.6,6.9,333,190.29,0
6.9,22.5,4.2,6,357,157.80,1
7.29,21.9,4.8,7.9,320,155.06,1
7.19,23.1,3.9,9,342,233.40,0
7.01,21.3,4.3,7.4,326,213.02,1
7.15,22.6,4.5,8.2,355,229.49,0
7.12,22,3.7,8.7,334,195.14,0
6.94,23.2,4,6.6,348,127.74,0
7.36,22.4,4.5,9.4,362,212.31,0
7.02,20.7,3.8,8.2,323,238.57,0
7.26,23.5,4.6,7.5,350,103.46,0
7.08,21.4,3.3,9.1,330,211.20,0
7.14,22.9,4.4,7.1,341,179.89,1
7.31,21.2,3.6,8.8,329,183.09,0
7.03,23,4.8,6.7,345,116.30,0
7.18,22.5,3.5,9.3,358,130.94,0
7.24,20.9,4.6,7.9,332,242.23,1
7.14,22.8,4.2,8.5,347,219.30,0
7.06,22.1,3.9,8,321,211.36,0
7.29,23.3,3.4,9.5,351,158.73,0
7.12,21.7,4.7,7.4,330,163.64,1
7.01,22.6,3.2,8.2,339,176.68,0
7.35,22.1,4.5,9.2,359,217.52,0
7.04,23.1,4,6.4,324,233.76,0
7.16,21.3,3.8,7.7,346,168.73,1
7.22,22.3,4.3,8.9,329,204.96,0
7.13,20.7,4.1,8.4,337,258.95,0
7.25,23,3.9,9.6,354,133.83,0
7.09,22.2,4.4,7,333,195.42,1
7.19,21.1,3.3,9,348,232.08,0
7.08,22.7,4.6,7.8,331,199.18,1
7.37,22.4,3.7,9.1,362,300.29,0
7.12,21.8,4.5,8.6,340,206.37,0
7.27,23.4,4.2,7.2,327,197.98,0
7.04,21.5,4.8,6.8,342,199.11,1
7.15,23.1,4.4,8.1,355,237.92,0
7.21,22.5,3.6,8.7,338,253.22,0
6.98,21.9,4,8.9,328,203.15,0
7.34,23.2,4.6,8.3,365,197.88,0
7.02,21,3.9,7.5,332,220.67,1
7.26,22.8,3.2,9.2,358,135.80,0
7.09,23,4.3,7.3,327,120.33,0
7.13,21.6,4.7,7.8,350,163.27,1
7.16,22.2,3.3,8.9,331,166.84,0
7.21,21.4,4.2,7.4,347,223.26,1
7.32,23.3,4.1,9.5,366,175.61,0
7.05,20.9,3.7,8.1,339,169.04,0
7.13,22.5,4.3,7.9,326,188.80,1
7.25,21.9,3.5,9.3,350,204.12,0
7.08,23.1,4.5,6.5,319,213.54,0
7.19,22,4.7,7.8,343,254.62,1
7.01,20.8,3.6,8.4,330,190.00,0
7.33,22.4,4.8,9,360,185.72,0
7.07,23.2,3.5,7.7,327,222.66,0
7.17,21.6,4.5,8.5,345,226.28,0
7.23,22.9,3.6,9.1,352,252.27,0
7.14,20.5,4.4,7.6,334,212.03,1
7.26,23.4,3.3,9.4,357,218.42,0
7.09,22.1,4.1,7,329,190.42,1
7.2,21.3,4.4,8.2,346,261.85,0
7.05,22.7,4.7,7.2,335,240.43,1
7.38,21.5,3.9,9.6,364,122.54,0
7.11,22.6,4.2,8.8,341,196.58,0
7.28,20.7,3.8,9.2,353,136.88,0
7.03,23.3,4.3,6.9,322,146.97,0
7.15,21.2,3.4,8,344,230.81,0
7.21,22.4,4.6,8.6,326,267.06,0
7.12,23,3.1,9.4,356,231.25,0
7,22.3,4.5,6.3,328,217.22,1
7.34,21.1,3.7,9.1,361,252.67,0
7.02,22.9,4.1,7.5,338,207.72,1
7.24,21.8,4.4,8.3,347,228.30,0
7.1,23.4,4.8,7.7,331,202.29,0
7.16,20.4,3.8,8.7,329,151.89,0
7.29,22.3,4.2,9.3,357,155.32,0
7.01,21.6,4.3,7.2,326,155.74,1
7.18,23.1,3.7,9,348,245.90,0
7.13,21.3,4.5,8.1,335,197.50,0
7.24,22.5,3.9,9.5,353,191.91,0
7.05,20.8,4.6,7.6,329,160.77,1
7.2,23.4,4.1,8.8,342,177.90,0
7.1,22.6,3.8,8.3,336,202.01,0
7.33,21.2,4.4,9.7,365,200.91,0
7.07,23,3.4,7.9,324,270.02,0
7.21,21.7,4.5,8.7,349,167.39,0
7.23,22.1,3.6,9.4,356,187.05,0
7.16,20.6,4.2,7.8,331,204.27,1
7.28,23.3,3.4,9.1,358,220.85,0
7.09,21.9,4.8,7.3,332,192.94,1
7.22,20.5,4.6,8.4,344,157.00,0
7.04,22.8,3.5,8.2,336,264.27,0
7.35,21.4,3.9,9.8,367,152.86,0
7.08,22.2,4.3,7.5,327,104.75,0
7.26,21,3.8,9.3,354,199.65,0
7.03,23.2,4.1,6.8,323,155.05,0
7.15,21.1,4.7,7.7,345,197.23,1
7.19,22.5,3.1,9.6,351,180.77,0
7.11,22.9,4.4,8,339,238.24,0
7.01,20.9,4.8,6.9,328,216.79,1
7.31,21.6,3.6,9.2,359,281.27,0
7.02,22.2,4.5,7.4,337,190.78,1
7.25,21.8,4.2,8.9,346,212.58,0
7.12,23.5,4.6,7.9,333,233.95,0
7.17,21.4,3.9,8.5,331,247.66,0
7.29,20.8,4.7,9.6,363,241.88,0
7.01,22.3,4.5,7.8,328,153.22,1
7.18,23,4.1,8.9,347,141.49,0
7.14,20.5,3.6,8,333,202.25,0
7.25,21.3,4.4,9.4,352,274.70,0
7.05,22.6,3.9,7.3,325,170.10,1
7.2,21.2,4.6,8.6,345,201.57,0
7.1,22.9,3.7,8.1,335,205.51,0
7.33,23.4,4.5,9.9,370,127.14,0
7.07,20.6,3.5,7.7,329,206.16,1
7.21,22.1,4.2,8.8,350,233.85,0
7.23,23.3,4.6,9.7,359,237.68,0
7.16,21.8,4,8.3,339,234.07,0
7.28,20.9,4.3,9.2,360,190.80,0
7.09,22.2,3.7,7.9,331,139.69,0
7.22,23.1,4.4,8.5,355,201.19,0
7.04,20.8,4.1,7.5,332,260.21,1
7.35,22.5,3.8,9.8,370,174.18,0
7.08,21.7,4.6,7.4,330,200.28,1
7.26,23,3.9,9.5,357,278.06,0
7.03,20.7,4.4,7.1,327,181.87,1
7.15,22.1,3.8,8.1,342,232.37,0
7.19,23.2,4.3,9,351,168.94,0
7.11,21.3,4.5,7.9,334,141.62,0
7.01,22,3.6,7.1,327,201.96,1
7.31,21.5,4.7,9.4,364,225.03,0
7.02,23.1,4.1,6.8,322,284.10,0
7.25,20.7,4.6,8.7,346,146.59,0
7.12,22.4,3.5,8.2,338,112.30,0
7.09,21.9,4.2,8.2,336,176.87,0
7.16,22.5,3.9,8.4,340,261.57,0
7.2,21.7,4.1,8.6,347,185.69,0
7.08,23.5,3.8,7.8,330,129.82,0
7.32,20.5,4.2,9.8,369,248.86,0
7.14,21.2,4.3,8.1,340,216.44,0
7.05,22.8,3.6,7.4,328,214.17,1
7.25,23.2,4.4,9.3,357,229.19,0
7.19,21.6,4.6,8.7,344,229.12,0
7.1,22.7,3.5,7.9,335,125.47,0
7.16,21.8,4.2,8.4,342,230.45,0
7.29,23.1,3.8,9.3,357,229.77,0
7.01,21.3,4.3,7.9,328,183.50,1
7.18,22.2,3.9,8.5,347,190.02,0
7.14,23.4,4.7,8.8,353,161.90,0
7.25,20.6,4.5,9.2,349,163.04,0
7.05,22.5,3.7,7.5,330,154.27,1
7.2,21.9,4.6,8.1,341,269.81,0
7.1,23,4.1,9,356,224.27,0
7.33,20.9,4.4,9.7,366,225.48,0
7.07,22.1,3.8,7.7,331,207.73,1
7.21,23.3,4.3,8.9,358,220.81,0
7.23,20.8,4.2,8.6,345,160.97,0
7.16,22.6,3.6,9.1,335,186.92,0
7.28,21.2,4.5,8.3,348,207.84,0
7.09,22.9,3.9,9.4,362,105.86,0
7.22,20.5,4.6,8.2,344,189.15,0
7.04,23,3.7,7.8,330,213.44,0
7.35,21.6,4.4,9.5,369,276.73,0
7.08,22.3,3.8,8,333,228.92,0
7.26,23.2,4.3,9.6,359,192.45,0
7.03,21.1,4.2,7.6,324,141.13,0
7.15,22.7,3.9,8.9,347,137.32,0
7.19,21.4,4.5,7.8,336,238.71,1
7.11,23.5,3.6,9.2,355,202.99,0
7.01,20.7,4.7,7.2,331,273.41,1
7.31,22.4,4.4,8.7,348,263.76,0
7.02,23,3.8,9.3,361,112.82,0
7.25,21.8,4.6,7.5,335,180.70,1
7.12,22.3,4.1,8.8,343,133.81,0
7.16,20.8,3.9,8.3,339,208.76,0
7.29,22.7,4.5,9.4,364,178.96,0
7.01,21.4,4.2,7.7,327,183.24,1
7.18,23.2,3.6,9.1,351,203.03,0
7.14,20.9,4.4,7.9,336,201.10,1
7.25,22.6,3.8,8.4,344,205.21,0
7.05,21.1,4.7,8.2,333,199.59,0
7.2,23.4,4.3,9.5,360,177.58,0
7.1,21.9,3.9,8.7,342,208.09,0
7.33,22.5,4.6,9.9,370,252.27,0
7.07,23.3,3.8,8,345,265.06,0
7.21,20.8,4.5,9.3,359,187.32,0
7.23,22.3,4.1,8.9,355,143.79,0
7.16,21.6,4.4,8.1,338,216.76,0
7.28,23.1,3.7,9.6,367,207.26,0
7.09,20.4,4.6,7.5,329,217.37,1
7.22,22,4.3,8.6,347,103.17,0
7.04,23.2,3.9,7.8,332,222.26,0
7.35,21.5,4.7,9.7,366,272.98,0
7.08,22.6,3.8,8.2,340,231.26,0
7.26,21.3,4.5,9.2,358,145.81,0
7.03,22.2,4.2,7.6,329,128.10,0
7.15,23,3.6,9.1,353,169.97,0
7.19,20.6,4.4,8.5,342,242.01,0
7.11,22.5,3.9,9.4,363,203.41,0
7.01,21.2,4.6,7.8,328,236.96,1
7.31,23.3,4.1,9.2,362,207.25,0
7.02,20.9,4.5,8.7,337,223.86,0
7.25,22.8,3.8,9.5,359,98.77,0
7.12,21.4,4.3,7.9,336,215.27,1
7.16,22.1,3.9,8.3,342,280.08,0
7.29,20.8,4.6,9.2,355,217.69,0
7.01,22.3,4.3,7.7,329,278.59,1
7.18,23,3.7,9.1,352,47.43,0
7.14,20.5,4.5,7.9,334,233.66,1
7.25,21.3,4.2,8.4,346,212.69,0
7.05,22.6,3.8,7.5,328,211.09,1
7.2,21.2,4.7,8.1,341,230.86,0
7.1,22.9,3.9,8.7,348,251.29,0
7.33,23.4,4.6,9.8,368,155.36,0
7.07,20.6,3.8,7.7,331,127.54,0
7.21,22.1,4.5,8.9,355,175.22,0
7.23,23.3,4.2,8.6,351,229.26,0
7.16,20.8,4.3,8,332,175.87,0
7.28,23,3.6,9.4,362,156.52,0
7.09,21.9,4.5,7.8,338,280.09,1
7.22,20.5,4.4,8.5,345,169.47,0
7.04,22.8,3.7,8.2,333,224.79,0
7.35,21.4,4.6,9.7,370,81.71,0
7.08,22.2,3.9,7.9,335,258.30,1
7.26,21,4.5,9.3,359,129.87,0
7.03,23.2,4.2,7.6,327,167.10,0
7.15,21.1,4.1,8.3,342,173.33,0
7.19,22.5,4.3,9,351,136.32,0
7.11,22.9,3.8,8,339,171.48,0
7.01,20.9,4.6,7.2,328,243.81,1
7.31,21.6,3.9,9.2,358,216.04,0
7.02,22.2,4.4,7.4,337,143.09,0
7.25,21.8,4.1,8.9,345,198.81,0
7.12,23.5,4.5,7.9,333,156.79,0
7.16,21.3,4,8.3,341,268.72,0
7.29,22.4,4.7,9.2,360,181.94,0
7.01,21,4.5,7.7,328,211.22,1
7.18,23.2,3.9,9.1,353,225.68,0
7.14,20.9,4.4,7.9,336,121.44,0
7.25,22.5,3.8,8.4,343,236.67,0
7.05,21.1,4.3,7.5,330,178.37,1
7.2,22.9,4.6,8.1,346,191.29,0
7.1,21.8,3.9,8.7,342,187.78,0
7.33,23.1,4.5,9.8,366,195.80,0
7.07,20.7,3.8,7.7,331,225.29,1
7.21,22.6,4.5,8.9,356,132.83,0
7.23,21.2,4.2,8.6,344,229.93,0
7.16,23,3.6,9.1,354,181.69,0
7.28,20.8,4.5,9.5,361,135.94,0
7.09,22.3,3.9,9.4,363,225.61,0
7.22,23.2,4.3,8.5,350,201.72,0
7.04,20.6,4.4,7.8,335,203.33,1
7.35,22.1,3.7,9.7,368,187.78,0
7.08,23.4,4.6,8.2,349,113.83,0
7.26,21.3,3.9,9.2,359,273.26,0
7.03,22,4.2,7.6,328,235.74,1
7.15,23.1,3.6,8.9,352,161.83,0
7.19,21.4,4.3,7.8,336,185.07,1
7.11,22.7,4.5,8.3,347,174.48,0
7.01,20.8,4.6,7.1,327,200.49,1
7.31,22.5,3.8,9.4,362,157.18,0
7.02,21.2,4.7,7.5,334,77.46,0
7.25,23,3.9,8.7,358,233.51,0
7.12,20.9,4.4,8.2,339,119.84,0
7.16,21.7,4.1,8.3,344,144.82,0
7.29,22.8,4.8,9.2,361,307.71,0
7.01,21.4,4.6,7.7,329,188.39,1
7.18,23.1,4,9.1,354,256.21,0
7.14,20.7,4.4,7.9,336,213.05,1
7.25,22.3,3.8,8.4,344,193.12,0
7.05,21,4.3,7.5,329,275.77,1
7.2,22.9,4.7,8.1,347,167.09,0
7.1,21.8,4,8.7,343,212.76,0
7.33,23.2,4.6,9.8,367,152.88,0
7.07,20.8,3.8,7.7,332,220.10,1
7.21,22.4,4.5,8.9,356,163.22,0
7.23,21.2,4.2,8.6,343,240.02,0
7.16,23,3.6,9.1,354,264.53,0
7.28,20.9,4.5,9.5,362,250.71,0
7.09,22.5,3.9,9.4,363,94.09,0
7.22,23.3,4.3,8.5,350,261.23,0
7.04,20.7,4.4,7.8,335,221.37,1
7.35,22.6,3.7,9.7,369,254.67,0
7.08,21.3,4.6,8.2,340,161.62,0
7.26,23.1,3.9,9.2,360,159.19,0
7.03,22,4.2,7.6,330,181.21,1
7.15,23.2,3.6,8.9,353,282.74,0
7.19,21.4,4.3,7.8,336,153.98,1
7.11,22.7,4.5,8.3,347,221.15,0
7.01,20.8,4.6,7.1,327,173.11,1
7.31,22.5,3.8,9.4,361,278.15,0
7.02,21.2,4.7,7.5,334,323.12,0
7.25,23,3.9,8.7,359,157.70,0
7.12,20.9,4.4,8.2,339,174.12,0
7.16,21.7,4.1,8.3,344,186.67,0
7.29,22.8,4.8,9.2,361,188.92,0
7.01,21.4,4.6,7.7,329,185.88,1
7.18,23.1,4,9.1,354,198.99,0
7.14,20.7,4.4,7.9,336,311.38,0
7.25,22.3,3.8,8.4,344,188.98,0
7.05,21,4.3,7.5,329,213.05,1
7.2,22.9,4.7,8.1,347,239.79,0
7.1,21.8,4,8.7,343,225.66,0
7.33,23.2,4.6,9.8,367,218.26,0
7.07,20.8,3.8,7.7,332,201.33,1
7.21,22.4,4.5,8.9,356,140.61,0
7.23,21.2,4.2,8.6,343,190.84,0
7.16,23,3.6,9.1,354,250.18,0
7.28,20.9,4.5,9.5,362,242.62,0
7.09,22.5,3.9,9.4,363,234.89,0
7.22,23.3,4.3,8.5,350,291.46,0
7.04,20.7,4.4,7.8,335,240.29,1
7.35,22.6,3.7,9.7,369,153.89,0
7.08,21.3,4.6,8.2,340,211.70,0
7.26,23.1,3.9,9.2,360,226.83,0
7.03,22,4.2,7.6,330,194.80,1
7.15,23.2,3.6,8.9,353,180.97,0
7.19,21.4,4.3,7.8,336,193.35,1
7.11,22.7,4.5,8.3,347,135.52,0
7.01,20.8,4.6,7.1,327,224.61,1
7.31,22.5,3.8,9.4,361,163.62,0
7.02,21.2,4.7,7.5,334,131.55,0
7.25,23,3.9,8.7,359,249.14,0
7.12,20.9,4.4,8.2,339,73.49,0
7.16,21.7,4.1,8.3,344,223.60,0
7.29,22.8,4.8,9.2,361,169.22,0
7.01,21.4,4.6,7.7,329,213.36,1
7.18,23.1,4,9.1,354,308.25,0
7.14,20.7,4.4,7.9,336,166.95,1
7.25,22.3,3.8,8.4,344,185.67,0
7.05,21,4.3,7.5,329,193.50,1
7.2,22.9,4.7,8.1,347,143.30,0
7.1,21.8,4,8.7,343,240.24,0
7.33,23.2,4.6,9.8,367,211.40,0
7.07,20.8,3.8,7.7,332,181.41,1
7.21,22.4,4.5,8.9,356,175.98,0
7.23,21.2,4.2,8.6,343,199.59,0
7.16,23,3.6,9.1,354,218.41,0
7.28,20.9,4.5,9.5,362,194.68,0
7.09,22.5,3.9,9.4,363,196.56,0
7.22,23.3,4.3,8.5,350,242.91,0
7.04,20.7,4.4,7.8,335,232.23,1
7.35,22.6,3.7,9.7,369,281.58,0
7.08,21.3,4.6,8.2,340,168.36,0
7.26,23.1,3.9,9.2,360,208.38,0
7.03,22,4.2,7.6,330,189.52,1
7.15,23.2,3.6,8.9,353,272.47,0
7.19,21.4,4.3,7.8,336,206.36,1
7.11,22.7,4.5,8.3,347,158.04,0
7.01,20.8,4.6,7.1,327,286.20,1
7.31,22.5,3.8,9.4,361,249.67,0
7.02,21.2,4.7,7.5,334,214.52,1
7.25,23,3.9,8.7,359,196.62,0
7.12,20.9,4.4,8.2,339,179.65,0
7.16,21.7,4.1,8.3,344,185.76,0
7.29,22.8,4.8,9.2,361,185.85,0
7.01,21.4,4.6,7.7,329,220.96,1
7.18,23.1,4,9.1,354,188.22,0
7.14,20.7,4.4,7.9,336,177.21,1
7.25,22.3,3.8,8.4,344,193.63,0
7.05,21,4.3,7.5,329,206.89,1
7.2,22.9,4.7,8.1,347,208.49,0
7.1,21.8,4,8.7,343,175.57,0
7.33,23.2,4.6,9.8,367,166.26,0
7.07,20.8,3.8,7.7,332,192.26,1
7.21,22.4,4.5,8.9,356,214.64,0
7.23,21.2,4.2,8.6,343,225.78,0
7.16,23,3.6,9.1,354,180.53,0
7.28,20.9,4.5,9.5,362,212.73,0
7.09,22.5,3.9,9.4,363,223.29,0
7.22,23.3,4.3,8.5,350,173.33,0
7.04,20.7,4.4,7.8,335,208.91,1
7.35,22.6,3.7,9.7,369,178.27,0
7.08,21.3,4.6,8.2,340,223.60,0
7.26,23.1,3.9,9.2,360,208.04,0
7.03,22,4.2,7.6,330,213.42,1
7.15,23.2,3.6,8.9,353,199.68,0
7.19,21.4,4.3,7.8,336,234.88,1
7.11,22.7,4.5,8.3,347,175.27,0
7.01,20.8,4.6,7.1,327,174.87,1
7.31,22.5,3.8,9.4,361,243.69,0
7.02,21.2,4.7,7.5,334,225.40,1
7.25,23,3.9,8.7,359,199.04,0
7.12,20.9,4.4,8.2,339,153.67,0
7.16,21.7,4.1,8.3,344,186.87,0
7.29,22.8,4.8,9.2,361,210.00,0
7.01,21.4,4.6,7.7,329,207.30,1
7.18,23.1,4,9.1,354,210.95,0
7.14,20.7,4.4,7.9,336,234.64,1
7.25,22.3,3.8,8.4,344,201.13,0
7.05,21,4.3,7.5,329,190.99,1
7.2,22.9,4.7,8.1,347,205.94,0
7.1,21.8,4,8.7,343,174.16,0
7.33,23.2,4.6,9.8,367,232.58,0
7.07,20.8,3.8,7.7,332,139.33,0
7.21,22.4,4.5,8.9,356,169.69,0
7.23,21.2,4.2,8.6,343,192.96,0
7.16,23,3.6,9.1,354,166.16,0
7.28,20.9,4.5,9.5,362,248.58,0
7.09,22.5,3.9,9.4,363,176.85,0
7.22,23.3,4.3,8.5,350,181.07,0
7.04,20.7,4.4,7.8,335,202.00,1
7.35,22.6,3.7,9.7,369,144.24,0
7.08,21.3,4.6,8.2,340,168.61,0
7.26,23.1,3.9,9.2,360,180.85,0
7.03,22,4.2,7.6,330,203.78,1
7.15,23.2,3.6,8.9,353,189.99,0
7.19,21.4,4.3,7.8,336,206.27,1
7.11,22.7,4.5,8.3,347,238.51,0
7.01,20.8,4.6,7.1,327,201.38,1
7.31,22.5,3.8,9.4,361,185.83,0
7.02,21.2,4.7,7.5,334,199.92,1
7.25,23,3.9,8.7,359,188.65,0
7.12,20.9,4.4,8.2,339,217.27,0
7.16,21.7,4.1,8.3,344,198.32,0
7.29,22.8,4.8,9.2,361,189.47,0
7.01,21.4,4.6,7.7,329,173.36,1
7.18,23.1,4,9.1,354,166.74,0
7.14,20.7,4.4,7.9,336,181.30,1
7.25,22.3,3.8,8.4,344,186.13,0
7.05,21,4.3,7.5,329,190.06,1
7.2,22.9,4.7,8.1,347,188.19,0
7.1,21.8,4,8.7,343,193.77,0
7.33,23.2,4.6,9.8,367,196.27,0
7.07,20.8,3.8,7.7,332,210.04,1
7.21,22.4,4.5,8.9,356,201.86,0
7.23,21.2,4.2,8.6,343,178.92,0
7.16,23,3.6,9.1,354,190.31,0
7.28,20.9,4.5,9.5,362,168.44,0
7.09,22.5,3.9,9.4,363,193.17,0
7.22,23.3,4.3,8.5,350,200.74,0
7.04,20.7,4.4,7.8,335,221.36,1
7.35,22.6,3.7,9.7,369,200.07,0
7.08,21.3,4.6,8.2,340,184.78,0
7.26,23.1,3.9,9.2,360,204.34,0
7.03,22,4.2,7.6,330,195.57,1
7.15,23.2,3.6,8.9,353,169.19,0
7.19,21.4,4.3,7.8,336,223.69,1
7.11,22.7,4.5,8.3,347,162.63,0
7.01,20.8,4.6,7.1,327,158.34,1
7.31,22.5,3.8,9.4,361,181.26,0
7.02,21.2,4.7,7.5,334,172.20,1
7.25,23,3.9,8.7,359,178.33,0
7.12,20.9,4.4,8.2,339,196.25,0
